640,2658
655,2768
830,4854
1000,7099
1045,7990
1083,9032
1107,9990
1108,9991
1110,10164
1111,10181
1113,71982
1114,10236
1122,10377
1125,10386
1128,19411
1139,10536
1140,10539
1142,10571
1143,10619
1145,10631
1151,10730
1152,10730
1162,10918
1180,11370
1181,11374
1185,11374
1189,11374
1190,11374
1215,11374
1216,11374
1217,11374
1218,11374
1221,11376
1248,16627
1253,12602
1261,12853
1265,12932
1266,12999
1267,13078
1268,13078
1269,13078
1270,13078
1271,13078
1272,13078
1273,13078
1278,13465
1297,14632
1300,14705
1310,15008
1329,15743
1331,15777
1332,15778
1333,15841
1340,15980
1351,16555
1352,16594
1353,16689
1359,16848
1360,17003
1365,17020
1366,17024
1390,17486
1392,17486
1402,18014
1411,18250
1412,18250
1413,18262
1414,18270
1415,18270
1430,18314
1431,18314
1432,18314
1433,18314
1435,18334
1440,18466
1443,18578
1446,47597
1448,18728
1451,18789
1452,18822
1453,18829
1457,18888
1459,18941
1463,18944
1464,18948
1465,18948
1468,19077
1470,19220
1472,19277
1474,19327
1480,19584
1491,20073
1493,20100
1494,20116
1496,20116
1501,20220
1504,20522
1517,21419
1518,21419
1519,21419
1520,21419
1521,21419
1522,21419
1523,21419
1525,21419
1530,21419
1536,21419
1543,21999
1544,21999
1545,22017
1577,22769
1579,22800
1580,22800
1581,22800
1590,22871
1592,23079
1610,23695
1620,23749
1631,23781
1632,23781
1640,23784
1641,23784
1666,24863
1674,26459
1675,26459
1676,26459
1688,27342
1699,28417
1705,28417
1706,28417
1707,28417
1708,28417
1709,28417
1710,28417
1712,28575
1714,28708
1720,28726
1733,29171
1740,29284
1760,30292
1761,30292
1765,30292
1766,30292
1771,30292
1772,30292
1786,30396
1787,30396
1793,30396
1798,30407
1810,30413
1821,31043
1843,31679
1870,33092
1900,34917
1912,35053
1915,35082
1916,35082
1918,35083
1920,35083
1922,35083
1932,35382
1934,35382
1936,36064
1954,39482
1956,39482
1978,41078
1991,42035
1994,42115
2035,42534
2052,43326
2086,44679
2205,52905
2270,55870
2282,56388
2285,56400
2300,57319
2346,58546
2391,62571
2418,68054
2419,68103
2452,68667
2476,68911
2479,68946
2481,69374
2526,75986
2529,77300
2530,77698
2532,77867
2569,80782
2580,82124
2581,82139
2582,82227
2615,84748
2617,85184
2639,91830
2641,92108
2658,93553
2659,93553
2660,93553
2661,93553
2679,94463
2704,97690
2707,97920
2708,97920
2709,97920
2712,97920
2713,98050
2742,100582
2800,104043
2801,104410
2802,104476
2810,104906
2811,104906
2814,104963
2815,104963
2822,104992
2823,104992
2830,105178
2832,105178
2833,105178
2840,105178
2841,105178
2842,105178
2843,105178
2851,105178
2852,105178
